airtable_record_id,createdTime,Item-ID (SKU),Status Import,Article Name (Displayed),Description,Stock Amount,Stock - Amount Sold,Stock - Remaining,Stock - Status,Source,Category,Supplier,Item-Number (Supplier Logic),Item-Name (Supplier Logic),Item Link (Supplier Logic),Exhibitor Shop - Item (True/False),Exhibitor Shop - Product Visibility,Exhibitor Shop - Item Order,Exhibitor Shop - Purchase note to customer (extern),Exhibitor Shop - Stock Tracking (True/False),Exhibitor Shop - Status,Price - Net EK,Price - Brutto EK,Umlagefähige Kosten,Price - Margin,Price - Minimum,Price - Selling Price (Net),Price Formula Field,VAT rate (%),Exhibitor Shop - Product URL,Exhibitor Shop - Attribute,Exhibitor Shop - Attribute Name,Exhibitor Shop - Attribute Value,Price - Discount Max Range,Price - Discount Max Range (%),Comment (Internal),TO BE CREATED - LINK TO BUNDLE,Product-Data (Bundles),Record_ID,Front Picture (files),Gallery Pictures (files),AI assist (files),Bild (files)
rec07jMAiMcpHlflH,2026-03-04T09:08:30.000Z,I-39898,Imported,Ipad Ständer (verstellbar),"Ipad Ständer - Passend für alle iPads und Tablets zwischen 7 und 13 Zoll. Die Halterung am oberen Ende lässt sich um 360 Grad drehen und auf den gewünschten Winkel neigen. Ladekabel können geschickt am hinteren Ende des Bodenständers entlang geführt werden.

Der Ständer hat eine Diebstahlsicherung, die nach belieben eingesetzt werden kann. Mit wenigen Handgriffen ist das Tablet so vor Diebstahl geschützt.",5,,5,instock,Messe-Shop,Technik,Milo,,,,TRUE,Visible,,,,publish,32,38.08,,0.2,38.4,38.4,38.4,7,,,,,0,0,,,,rec07jMAiMcpHlflH,,,,
rec0IFvpN02EWQxth,2025-11-10T12:33:18.000Z,I-79895,Imported,Standbühne (18qm),"Die Standbühne inkludiert: 
- 18qm Grundfläche 
- 6m Rückwand (bedruckt mit Stoffbanner) 
- 18qm Teppich Standard
- Stromanschluss (230V) 
- Standbeleuchtung
- Standreinigung (Einmalig vor erstem Öffnungstag)
- Audioanlage 
- Screen 
- Sitzmöglichkeiten (nach Absprache) ",2,,2,instock,Hubspot,Standflaeche,,,,,,,,,,,,0,,,0,19900,0,7,,,,,19900,100,,,,rec0IFvpN02EWQxth,,,,
rec0Iu3DOgqzJY4bh,2025-06-20T12:03:18.000Z,I-64743,,"Check-in 2 Banner, einseitig","Einseitiges Banner am Einlass, sichere dir Sichtbarkeit und Aufmerksamkeit bei allen Teilnehmern bereits beim Ankommen.",,,0,outofstock,Hubspot,Branding ,Fetzer,,,,TRUE,,,,,,1428,1699.32,,0.2,1713.6,,1713.6,7,,,,,-1713.6,"{""specialValue"": ""-Infinity""}",,,,rec0Iu3DOgqzJY4bh,,,,
rec0s0c6UzG6YJNtp,2025-06-19T13:25:26.000Z,I-53381,Imported,Kipu Hocker pistazie,"Gemütlicher Hocker in stilvollem Pistazien-Ton, ideal als Sitzgelegenheit oder dekoratives Element. Mit einem Durchmesser von 57 cm und einer angenehmen Sitzhöhe von 45 cm ist er vielseitig einsetzbar – ob für kurze Gespräche oder zum Entspannen. Modernes Design trifft auf Komfort.",5,,5,instock,Messe-Shop,Mobiliar ,PartyRent,2527,Kipu Hocker pistazie,https://www.party.rent/de/product/kipu-hocker-57-pistaziengrün-h45-cm-2527,TRUE,Visible,,,,publish,43.51,51.7769,,0.2,52.211999999999996,52.2,52.211999999999996,7,,,,,-0.01199999999999335,-0.022988505747113693,,,,rec0s0c6UzG6YJNtp,2527.jpg,Image_January_8_2026_2_50_PM-v1.webp; Image_January_8_2026_2_50_PM-v2.webp; Image_January_8_2026_2_50_PM-v3.webp,Image_January_8_2026_2_50_PM-v1.webp; Image_January_8_2026_2_50_PM-v2.webp; Image_January_8_2026_2_50_PM-v3.webp,
rec1n87c2ZXJGAuGx,2026-01-06T13:12:25.000Z,I-73485,Imported,Flipchart (ohne Stift und Papier),"Mobiles Flipchart-Gestell mit den Maßen 70 x 200 cm (Breite x Höhe). Das Gestell eignet sich ideal für Präsentationen, Workshops oder Besprechungen und wird ohne Stifte oder Papier geliefert. Praktische Lösung für die Visualisierung von Inhalten bei Veranstaltungen oder am Messestand.",10,,10,instock,Messe-Shop,Mobiliar ,PartyRent,2295,Flipchart (ohne Stift und Papier),https://www.party.rent/de/product/flipchart-b70-h200-cm--ohne-stift-und-papier--2295,TRUE,Visible,,,,publish,33.61,39.9959,,0.2,40.332,40.3,40.332,7,,,,,-0.03200000000000358,-0.07940446650124959,,,,rec1n87c2ZXJGAuGx,2295.jpg,Image_January_8_2026_3_06_PM-v1.webp; Image_January_8_2026_3_06_PM-v2.webp; Image_January_8_2026_3_06_PM-v3.webp,Image_January_8_2026_3_06_PM-v1.webp; Image_January_8_2026_3_06_PM-v2.webp; Image_January_8_2026_3_06_PM-v3.webp,
rec27UqcdFUEGF0CY,2026-01-20T12:33:25.000Z,I-42738,Imported,Coca-Cola Zero 12x 1 ltr Kiste,"Coca-Cola Zero, Paket mit 12 Flaschen à 1 Liter. ",50,,50,instock,Messe-Shop,Standgastronomie,Kaefer,34894,"Coca-Cola Zero, Paket mit 12 Flaschen à 1 Liter. ",,TRUE,Visible,,,,publish,48.01,57.131899999999995,,0.12,53.7712,53.8,53.7712,7,,,,,0.028799999999996828,0.053531598513005256,,,,rec27UqcdFUEGF0CY,P-1-100937_323b80f7-982d-49aa-836d-d9d1aa0d34d8.png,P-1-100937_323b80f7-982d-49aa-836d-d9d1aa0d34d8.png,,P-1-100937_323b80f7-982d-49aa-836d-d9d1aa0d34d8.png
rec2GKqXW6xDXIa31,2026-01-20T12:56:50.000Z,I-10465,Imported,"Käfer Chardonnay trocken (6x 0,75 ltr)","Weißwein, trocken, 6er-Paket",50,,50,instock,Messe-Shop,Standgastronomie,Kaefer,9658,"Weißwein, trocken, 6er-Paket",,TRUE,Visible,,,,publish,144.01,171.37189999999998,,0.12,161.2912,161.3,161.2912,7,,,,,0.008800000000007913,0.005455672659645327,,,,rec2GKqXW6xDXIa31,"717qZrI5YlL._AC_UF1000,1000_QL80_.jpg","717qZrI5YlL._AC_UF1000,1000_QL80_.jpg",,"717qZrI5YlL._AC_UF1000,1000_QL80_.jpg"
rec2OzvBc9M3Hi5P9,2025-06-23T16:54:55.000Z,I-54632,,Branding am Bus (Logo außen),"Exklusives Bus-Branding mit deinem Logo außen, mobile Sichtbarkeit auf allen Stationen der Company Tour.",,,0,outofstock,Hubspot,Company Tours ,Branding,,,,,,,,,,,0,,0.2,0,,0,7,,,,,0,"{""specialValue"": ""NaN""}",,,,rec2OzvBc9M3Hi5P9,,,,
rec2brdZxlH0akwVH,2026-01-20T12:56:50.000Z,I-98072,Imported,"Bio Käfer Primitivo (6x 0,75 ltr)","Rotwein, Bio, 6er-Paket",50,,50,instock,Messe-Shop,Standgastronomie,Kaefer,35849,"Rotwein, Bio, 6er-Paket",,TRUE,Visible,,,,publish,144.01,171.37189999999998,,0.12,161.2912,161.3,161.2912,7,,,,,0.008800000000007913,0.005455672659645327,,,,rec2brdZxlH0akwVH,7120SRvbf7L.jpg,7120SRvbf7L.jpg,,7120SRvbf7L.jpg
rec2sMAwWoRuRanVe,2025-06-19T13:25:26.000Z,I-66084,,,,,,0,outofstock,,,,,,,,,,,,,,0,,,0,,0,,,,,,0,"{""specialValue"": ""NaN""}",,,,rec2sMAwWoRuRanVe,,,,
