bundle_sku,bundle_name,component_sku,component_name,qty
I-39709,All-Inclusive Stand – Premium (18qm),I-24313,1m Rückwand (bedruckt mit Stoffbanner),5
I-39709,All-Inclusive Stand – Premium (18qm),I-53563,Tolix Barhocker,4
I-39709,All-Inclusive Stand – Premium (18qm),I-73593,1qm Teppich Standard,18
I-39709,All-Inclusive Stand – Premium (18qm),I-25643,,2
I-39709,All-Inclusive Stand – Premium (18qm),I-62157,Standbeleuchtung (Standard),1
I-39709,All-Inclusive Stand – Premium (18qm),I-76440,Stromanschluss 230V,1
I-39709,All-Inclusive Stand – Premium (18qm),I-33612,1m Rückwand mit Monitorhalterung,1
I-50131,All-Inclusive Stand – General (9qm),I-73593,1qm Teppich Standard,9
I-50131,All-Inclusive Stand – General (9qm),I-25643,,1
I-50131,All-Inclusive Stand – General (9qm),I-24313,1m Rückwand (bedruckt mit Stoffbanner),2
I-50131,All-Inclusive Stand – General (9qm),I-53563,Tolix Barhocker,2
I-50131,All-Inclusive Stand – General (9qm),I-33612,1m Rückwand mit Monitorhalterung,1
I-50131,All-Inclusive Stand – General (9qm),I-62157,Standbeleuchtung (Standard),1
I-50131,All-Inclusive Stand – General (9qm),I-76440,Stromanschluss 230V,1
I-39740,All-Inclusive Stand – Intro (4qm),I-24313,1m Rückwand (bedruckt mit Stoffbanner),1
I-39740,All-Inclusive Stand – Intro (4qm),I-25643,,1
I-39740,All-Inclusive Stand – Intro (4qm),I-33612,1m Rückwand mit Monitorhalterung,1
I-39740,All-Inclusive Stand – Intro (4qm),I-73593,1qm Teppich Standard,4
I-39740,All-Inclusive Stand – Intro (4qm),I-76440,Stromanschluss 230V,1
I-39740,All-Inclusive Stand – Intro (4qm),I-62157,Standbeleuchtung (Standard),1
I-39740,All-Inclusive Stand – Intro (4qm),I-53563,Tolix Barhocker,2
I-65476,"All-Inclusive Stand – Start-Up (1,5qm)",I-11329,Gitterbox,1
I-65476,"All-Inclusive Stand – Start-Up (1,5qm)",I-76440,Stromanschluss 230V,1
I-65476,"All-Inclusive Stand – Start-Up (1,5qm)",I-53563,Tolix Barhocker,2
I-91411,Signature Stand (QM basiert),I-62157,Standbeleuchtung (Standard),1
I-91411,Signature Stand (QM basiert),I-42678,Extra-Stromanschluss 16A,1
